Depth,Sample,Permeability,lPerm,Porosity,PRT,ROCK_INDEX,G1,PD1,G2,PD2,BV1,BV2,Mode,lMode,Reference_Set,Pc,lPc,BVOCC,lBVOCC,dBv,Microns,lMicrons
1,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,1.61,0.20682587603185,0.042171433245981,-1.37498163872326,0,131.67701863354,2.1195099848969
2,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,3.22,0.507855871695831,2.19615916859108,0.341663812797978,2.1539877353451,65.8385093167702,1.81847998923292
3,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,6.44,0.808885867359812,5.17340985742727,0.713776886251335,2.97725068883619,32.9192546583851,1.51744999356894
4,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,12.88,1.10991586302379,7.52048987645411,0.876246130978812,2.34708001902684,16.4596273291925,1.21641999790496
5,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,25.76,1.41094585868777,9.27464152685348,0.967297132743359,1.75415165039937,8.22981366459627,0.915390002240977
6,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,51.52,1.71197585435176,10.6056051501088,1.02553545416845,1.33096362325531,4.11490683229814,0.614360006576996
7,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,103.04,2.01300585001574,11.6410008134603,1.06599031958179,1.03539566335146,2.05745341614907,0.313330010913015
8,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,206.08,2.31403584567972,13.1090577287046,1.11757147598215,1.46805691524431,1.02872670807453,0.012300015249033
9,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,412.16,2.6150658413437,15.0245612560405,1.17680179868725,1.91550352733595,0.514363354037267,-0.288729980414948
10,1,1007,3.00302947055362,0.23883,M_1,1,1.02,1.1,0.45,120,19.52,4.37,30.099803836012,1.47856366525447,Rosetta,824.32,2.91609583700768,16.2461057434695,1.21074927566527,1.22154448742898,0.257181677018634,-0.589759976078929
